symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
XAUUSDm,2024-07-19 14:00:00+00:00,2403.82,2404.717,2398.793,2401.708,3894,179,0,15m,2024-07-19 14:00:00.000
XAUUSDm,2024-07-19 14:15:00+00:00,2401.742,2402.917,2399.415,2401.239,3331,179,0,15m,2024-07-19 14:15:00.000
XAUUSDm,2024-07-19 14:30:00+00:00,2401.283,2403.491,2400.378,2401.155,3151,179,0,15m,2024-07-19 14:30:00.000
XAUUSDm,2024-07-19 14:45:00+00:00,2401.194,2401.71,2395.971,2397.983,2790,179,0,15m,2024-07-19 14:45:00.000
XAUUSDm,2024-07-19 15:00:00+00:00,2397.935,2408.45,2397.704,2407.124,3059,179,0,15m,2024-07-19 15:00:00.000
XAUUSDm,2024-07-19 15:15:00+00:00,2407.077,2407.57,2403.625,2404.213,2446,179,0,15m,2024-07-19 15:15:00.000
XAUUSDm,2024-07-19 15:30:00+00:00,2404.211,2406.415,2402.672,2404.556,2154,179,0,15m,2024-07-19 15:30:00.000
XAUUSDm,2024-07-19 15:45:00+00:00,2404.577,2406.486,2403.905,2405.378,1755,180,0,15m,2024-07-19 15:45:00.000
XAUUSDm,2024-07-19 16:00:00+00:00,2405.445,2405.968,2402.795,2404.372,1515,179,0,15m,2024-07-19 16:00:00.000
XAUUSDm,2024-07-19 16:15:00+00:00,2404.325,2404.82,2401.315,2402.245,1554,179,0,15m,2024-07-19 16:15:00.000
XAUUSDm,2024-07-19 16:30:00+00:00,2402.218,2403.456,2401.235,2401.643,1407,179,0,15m,2024-07-19 16:30:00.000
XAUUSDm,2024-07-19 16:45:00+00:00,2401.571,2402.647,2399.312,2399.667,1424,180,0,15m,2024-07-19 16:45:00.000
XAUUSDm,2024-07-19 17:00:00+00:00,2399.666,2400.332,2398.315,2398.702,1605,179,0,15m,2024-07-19 17:00:00.000
XAUUSDm,2024-07-19 17:15:00+00:00,2398.681,2400.741,2396.813,2397.257,1907,179,0,15m,2024-07-19 17:15:00.000
XAUUSDm,2024-07-19 17:30:00+00:00,2397.307,2400.071,2395.64,2399.067,1828,179,0,15m,2024-07-19 17:30:00.000
XAUUSDm,2024-07-19 17:45:00+00:00,2399.103,2400.761,2398.39,2399.218,1526,180,0,15m,2024-07-19 17:45:00.000
XAUUSDm,2024-07-19 18:00:00+00:00,2399.214,2400.249,2398.071,2398.251,1263,179,0,15m,2024-07-19 18:00:00.000
XAUUSDm,2024-07-19 18:15:00+00:00,2398.244,2398.9,2397.358,2398.637,1218,179,0,15m,2024-07-19 18:15:00.000
XAUUSDm,2024-07-19 18:30:00+00:00,2398.682,2398.82,2397.064,2397.429,1114,180,0,15m,2024-07-19 18:30:00.000
XAUUSDm,2024-07-19 18:45:00+00:00,2397.394,2398.874,2397.364,2398.602,1018,180,0,15m,2024-07-19 18:45:00.000
XAUUSDm,2024-07-19 19:00:00+00:00,2398.526,2399.327,2397.738,2398.716,1218,179,0,15m,2024-07-19 19:00:00.000
XAUUSDm,2024-07-19 19:15:00+00:00,2398.759,2399.361,2397.869,2398.294,1042,180,0,15m,2024-07-19 19:15:00.000
XAUUSDm,2024-07-19 19:30:00+00:00,2398.336,2399.769,2397.036,2399.76,1127,179,0,15m,2024-07-19 19:30:00.000
XAUUSDm,2024-07-19 19:45:00+00:00,2399.74,2400.123,2397.958,2398.708,1200,179,0,15m,2024-07-19 19:45:00.000
XAUUSDm,2024-07-19 20:00:00+00:00,2398.742,2399.16,2397.783,2398.86,780,180,0,15m,2024-07-19 20:00:00.000
XAUUSDm,2024-07-19 20:15:00+00:00,2398.901,2399.898,2398.785,2399.843,618,179,0,15m,2024-07-19 20:15:00.000
XAUUSDm,2024-07-19 20:30:00+00:00,2399.799,2399.916,2398.316,2398.755,778,179,0,15m,2024-07-19 20:30:00.000
XAUUSDm,2024-07-19 20:45:00+00:00,2398.697,2400.55,2398.032,2400.45,943,180,0,15m,2024-07-19 20:45:00.000
XAUUSDm,2024-07-21 22:00:00+00:00,2403.68,2405.362,2402.487,2405.256,529,180,0,15m,2024-07-21 22:00:00.000
XAUUSDm,2024-07-21 22:15:00+00:00,2405.196,2411.265,2404.831,2410.45,1308,179,0,15m,2024-07-21 22:15:00.000
XAUUSDm,2024-07-21 22:30:00+00:00,2410.418,2411.307,2408.928,2410.959,909,179,0,15m,2024-07-21 22:30:00.000
