symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
GBPAUDm,2024-08-06 17:40:00+00:00,1.94167,1.94257,1.94155,1.94231,252,28,0,5m,2024-08-06 17:40:00.000
GBPAUDm,2024-08-06 17:45:00+00:00,1.94236,1.94253,1.94188,1.94247,214,28,0,5m,2024-08-06 17:45:00.000
GBPAUDm,2024-08-06 17:50:00+00:00,1.94249,1.94249,1.94193,1.94207,189,28,0,5m,2024-08-06 17:50:00.000
GBPAUDm,2024-08-06 17:55:00+00:00,1.94208,1.94247,1.94162,1.94246,179,28,0,5m,2024-08-06 17:55:00.000
GBPAUDm,2024-08-06 18:00:00+00:00,1.94248,1.94297,1.94248,1.94287,206,28,0,5m,2024-08-06 18:00:00.000
GBPAUDm,2024-08-06 18:05:00+00:00,1.94285,1.94317,1.94259,1.94303,230,28,0,5m,2024-08-06 18:05:00.000
GBPAUDm,2024-08-06 18:10:00+00:00,1.94303,1.94362,1.94292,1.94327,214,28,0,5m,2024-08-06 18:10:00.000
GBPAUDm,2024-08-06 18:15:00+00:00,1.9433,1.94347,1.94262,1.94262,181,28,0,5m,2024-08-06 18:15:00.000
GBPAUDm,2024-08-06 18:20:00+00:00,1.94263,1.94283,1.9424,1.94247,185,28,0,5m,2024-08-06 18:20:00.000
GBPAUDm,2024-08-06 18:25:00+00:00,1.94251,1.94281,1.94219,1.94223,192,28,0,5m,2024-08-06 18:25:00.000
GBPAUDm,2024-08-06 18:30:00+00:00,1.9422,1.94294,1.94214,1.94282,186,28,0,5m,2024-08-06 18:30:00.000
GBPAUDm,2024-08-06 18:35:00+00:00,1.94282,1.94289,1.94244,1.94265,158,28,0,5m,2024-08-06 18:35:00.000
GBPAUDm,2024-08-06 18:40:00+00:00,1.94262,1.9432,1.94257,1.9432,163,28,0,5m,2024-08-06 18:40:00.000
GBPAUDm,2024-08-06 18:45:00+00:00,1.94316,1.9433,1.94264,1.94279,171,28,0,5m,2024-08-06 18:45:00.000
GBPAUDm,2024-08-06 18:50:00+00:00,1.94282,1.94334,1.94264,1.94295,163,28,0,5m,2024-08-06 18:50:00.000
