symbol,time,open,high,low,close,tickVolume,spread,volume,timeframe,brokerTime
GBPAUDm,2023-12-28 04:00:00+00:00,1.86782,1.87319,1.86747,1.87064,7198,28,0,4h,2023-12-28 04:00:00.000
GBPAUDm,2023-12-28 08:00:00+00:00,1.87059,1.87634,1.86856,1.87069,9572,28,0,4h,2023-12-28 08:00:00.000
GBPAUDm,2023-12-28 12:00:00+00:00,1.87068,1.87143,1.85925,1.86127,12038,28,0,4h,2023-12-28 12:00:00.000
GBPAUDm,2023-12-28 16:00:00+00:00,1.86127,1.86298,1.85915,1.86215,9136,28,0,4h,2023-12-28 16:00:00.000
GBPAUDm,2023-12-28 20:00:00+00:00,1.86215,1.86531,1.86038,1.86483,6207,28,0,4h,2023-12-28 20:00:00.000
GBPAUDm,2023-12-29 00:00:00+00:00,1.86545,1.86551,1.86011,1.8626,7112,28,0,4h,2023-12-29 00:00:00.000
GBPAUDm,2023-12-29 04:00:00+00:00,1.8626,1.867,1.86214,1.86526,6369,28,0,4h,2023-12-29 04:00:00.000
GBPAUDm,2023-12-29 08:00:00+00:00,1.86531,1.87445,1.86507,1.8742,9746,28,0,4h,2023-12-29 08:00:00.000
GBPAUDm,2023-12-29 12:00:00+00:00,1.87421,1.87539,1.86649,1.86807,13336,28,0,4h,2023-12-29 12:00:00.000
GBPAUDm,2023-12-29 16:00:00+00:00,1.86812,1.87084,1.86446,1.87037,11300,28,0,4h,2023-12-29 16:00:00.000
GBPAUDm,2023-12-29 20:00:00+00:00,1.87042,1.87114,1.86898,1.86923,3751,28,0,4h,2023-12-29 20:00:00.000
GBPAUDm,2024-01-01 20:00:00+00:00,1.86387,1.86514,1.86274,1.8641,2132,1000,0,4h,2024-01-01 20:00:00.000
GBPAUDm,2024-01-02 00:00:00+00:00,1.86637,1.86826,1.86424,1.86583,6367,113,0,4h,2024-01-02 00:00:00.000
GBPAUDm,2024-01-02 04:00:00+00:00,1.86585,1.86698,1.86173,1.86646,6371,112,0,4h,2024-01-02 04:00:00.000
GBPAUDm,2024-01-02 08:00:00+00:00,1.86642,1.86838,1.86067,1.86193,11197,28,0,4h,2024-01-02 08:00:00.000
GBPAUDm,2024-01-02 12:00:00+00:00,1.86193,1.86595,1.86042,1.86527,14703,28,0,4h,2024-01-02 12:00:00.000
GBPAUDm,2024-01-02 16:00:00+00:00,1.86526,1.86684,1.86321,1.86649,9403,28,0,4h,2024-01-02 16:00:00.000
GBPAUDm,2024-01-02 20:00:00+00:00,1.86652,1.86769,1.86312,1.86478,6237,28,0,4h,2024-01-02 20:00:00.000
GBPAUDm,2024-01-03 00:00:00+00:00,1.86541,1.87036,1.86503,1.86807,8355,28,0,4h,2024-01-03 00:00:00.000
GBPAUDm,2024-01-03 04:00:00+00:00,1.86807,1.87105,1.86661,1.87091,7638,28,0,4h,2024-01-03 04:00:00.000
GBPAUDm,2024-01-03 08:00:00+00:00,1.87089,1.8766,1.86979,1.87633,10782,28,0,4h,2024-01-03 08:00:00.000
GBPAUDm,2024-01-03 12:00:00+00:00,1.87628,1.88291,1.87528,1.88125,15176,28,0,4h,2024-01-03 12:00:00.000
GBPAUDm,2024-01-03 16:00:00+00:00,1.88129,1.88461,1.88014,1.88168,12055,28,0,4h,2024-01-03 16:00:00.000
GBPAUDm,2024-01-03 20:00:00+00:00,1.88168,1.88315,1.87954,1.88123,7123,28,0,4h,2024-01-03 20:00:00.000
GBPAUDm,2024-01-04 00:00:00+00:00,1.88165,1.88317,1.87819,1.88045,7489,28,0,4h,2024-01-04 00:00:00.000
GBPAUDm,2024-01-04 04:00:00+00:00,1.88049,1.88122,1.87639,1.87924,8233,28,0,4h,2024-01-04 04:00:00.000
GBPAUDm,2024-01-04 08:00:00+00:00,1.87919,1.88865,1.87754,1.88585,11486,28,0,4h,2024-01-04 08:00:00.000
GBPAUDm,2024-01-04 12:00:00+00:00,1.88585,1.89279,1.88529,1.89228,13003,28,0,4h,2024-01-04 12:00:00.000
GBPAUDm,2024-01-04 16:00:00+00:00,1.89228,1.89299,1.89028,1.89192,8987,28,0,4h,2024-01-04 16:00:00.000
GBPAUDm,2024-01-04 20:00:00+00:00,1.89188,1.89233,1.88863,1.89049,5624,28,0,4h,2024-01-04 20:00:00.000
GBPAUDm,2024-01-05 00:00:00+00:00,1.89092,1.89272,1.88953,1.89185,7458,28,0,4h,2024-01-05 00:00:00.000
GBPAUDm,2024-01-05 04:00:00+00:00,1.89184,1.89392,1.88955,1.89263,8032,28,0,4h,2024-01-05 04:00:00.000
GBPAUDm,2024-01-05 08:00:00+00:00,1.89258,1.89541,1.89142,1.89395,9821,28,0,4h,2024-01-05 08:00:00.000
GBPAUDm,2024-01-05 12:00:00+00:00,1.89391,1.8994,1.89001,1.89327,24062,28,0,4h,2024-01-05 12:00:00.000
